node_id,node_type,label,description,approved_name,target_id,biotype,association_score,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,text_coverage_status,literature_mentions,trial_mentions,symbol_ambiguity_flag,mention_match_quality,paper_id,year,citation_count,topic_id,topic_label,nct_id,overall_status,phases,top_terms,n_papers,source,n_trials
target_BACE1,Target,BACE1,,beta-secretase 1,ENSG00000186318,protein_coding,0.4227334364529774,0.222963,0.214271,24.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,2.0,0.0,low,reliable,,,,,,,,,,,,
target_GRIN2B,Target,GRIN2B,,glutamate ionotropic receptor NMDA type subunit 2B,ENSG00000273079,protein_coding,0.6274063661175356,0.220215,0.275269,25.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_BCHE,Target,BCHE,,butyrylcholinesterase,ENSG00000114200,protein_coding,0.6272161725827728,0.220074,0.275092,26.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_GRIN2A,Target,GRIN2A,,glutamate ionotropic receptor NMDA type subunit 2A,ENSG00000183454,protein_coding,0.6151782725819345,0.21114,0.263925,27.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_GRIN2D,Target,GRIN2D,,glutamate ionotropic receptor NMDA type subunit 2D,ENSG00000105464,protein_coding,0.6136111345949934,0.209977,0.262472,28.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_GRIN3A,Target,GRIN3A,,glutamate ionotropic receptor NMDA type subunit 3A,ENSG00000198785,protein_coding,0.6101241550231941,0.20739,0.259237,29.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_APH1B,Target,APH1B,,aph-1B gamma-secretase subunit,ENSG00000138613,protein_coding,0.6090250464013078,0.206574,0.258218,30.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_GRIN2C,Target,GRIN2C,,glutamate ionotropic receptor NMDA type subunit 2C,ENSG00000161509,protein_coding,0.6083962283415625,0.206107,0.257634,31.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_SHARPIN,Target,SHARPIN,,SHANK associated RH domain interactor,ENSG00000179526,protein_coding,0.4765564735652801,0.205833,0.216639,32.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,1.0,0.0,low,reliable,,,,,,,,,,,,
target_CDK5R1,Target,CDK5R1,,cyclin dependent kinase 5 regulatory subunit 1,ENSG00000176749,protein_coding,0.6074662113403846,0.205417,0.256771,33.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
