source,target,edge_type,association_score,evidence_source,target_symbol,paper_id,nct_id,topic_id,topic_score,lit_label,trial_label
alzheimers_disease,target_CDKN2A,disease_target_evidence,0.5252849051254936,Open Targets,,,,,,,
alzheimers_disease,target_CDKN1C,disease_target_evidence,0.5250486731811728,Open Targets,,,,,,,
alzheimers_disease,target_CDK1,disease_target_evidence,0.5248755708356222,Open Targets,,,,,,,
alzheimers_disease,target_RIOK2,disease_target_evidence,0.5244154452261425,Open Targets,,,,,,,
alzheimers_disease,target_DRD2,disease_target_evidence,0.5239248574008657,Open Targets,,,,,,,
alzheimers_disease,target_NDUFS1,disease_target_evidence,0.5232633839227692,Open Targets,,,,,,,
alzheimers_disease,target_DDX39B,disease_target_evidence,0.5222917544590315,Open Targets,,,,,,,
alzheimers_disease,target_ATP6V1B2,disease_target_evidence,0.5211752723946863,Open Targets,,,,,,,
alzheimers_disease,target_CD2AP,disease_target_evidence,0.5188400429995826,Open Targets,,,,,,,
alzheimers_disease,target_UQCRC1,disease_target_evidence,0.5183860713313272,Open Targets,,,,,,,
alzheimers_disease,target_ADRA2C,disease_target_evidence,0.5163074785207125,Open Targets,,,,,,,
alzheimers_disease,target_AURKA,disease_target_evidence,0.5155270888510811,Open Targets,,,,,,,
alzheimers_disease,target_CAST,disease_target_evidence,0.3807409956883003,Open Targets,,,,,,,
alzheimers_disease,target_ADRA2A,disease_target_evidence,0.5118463597412175,Open Targets,,,,,,,
alzheimers_disease,target_MPO,disease_target_evidence,0.5117547282373773,Open Targets,,,,,,,
alzheimers_disease,target_NDUFS2,disease_target_evidence,0.5110539411128694,Open Targets,,,,,,,
alzheimers_disease,target_CASS4,disease_target_evidence,0.5104872560249373,Open Targets,,,,,,,
alzheimers_disease,target_SLC18A2,disease_target_evidence,0.5094579284886787,Open Targets,,,,,,,
alzheimers_disease,target_PIKFYVE,disease_target_evidence,0.5089489781100042,Open Targets,,,,,,,
alzheimers_disease,target_CAMLG,disease_target_evidence,0.5075988192398417,Open Targets,,,,,,,
alzheimers_disease,target_NDUFA9,disease_target_evidence,0.5062203596018111,Open Targets,,,,,,,
alzheimers_disease,target_NR1H2,disease_target_evidence,0.5047494233888233,Open Targets,,,,,,,
alzheimers_disease,target_CSNK1A1,disease_target_evidence,0.5040365578291959,Open Targets,,,,,,,
alzheimers_disease,target_AKAP11,disease_target_evidence,0.5030645574681958,Open Targets,,,,,,,
alzheimers_disease,target_TARS2,disease_target_evidence,0.5030392466541774,Open Targets,,,,,,,
alzheimers_disease,target_MASTL,disease_target_evidence,0.5030392466541774,Open Targets,,,,,,,
alzheimers_disease,target_ATP6V1C1,disease_target_evidence,0.5029313970500541,Open Targets,,,,,,,
alzheimers_disease,target_FADS2,disease_target_evidence,0.5017930585581221,Open Targets,,,,,,,
alzheimers_disease,target_CDK12,disease_target_evidence,0.5016300431916646,Open Targets,,,,,,,
alzheimers_disease,target_CTSB,disease_target_evidence,0.5013866040818838,Open Targets,,,,,,,
alzheimers_disease,target_PI4KB,disease_target_evidence,0.4993421627252597,Open Targets,,,,,,,
alzheimers_disease,target_NDUFB7,disease_target_evidence,0.4981214124775582,Open Targets,,,,,,,
