approved_symbol,gap_rank,evidence_strength_norm,literature_signal_norm,trial_signal_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag
ATP6V1A,21,0.348108358491765,0.16260831227163416,0.0,0.16260831227163416,0.236808,0.255358,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
CSF1R,22,0.13779976839665586,0.32521662454326833,0.15957141566993815,0.27332134736550023,0.234681,0.21594,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
KAT8,23,0.32475783972874994,0.16260831227163416,0.0,0.16260831227163416,0.227468,0.243683,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
BACE1,24,0.17081443571211097,0.257728077256096,0.0,0.257728077256096,0.222963,0.214271,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
GRIN2B,25,0.550537248220723,0.0,0.0,0.0,0.220215,0.275269,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
BCHE,26,0.5501843885432881,0.0,0.0,0.0,0.220074,0.275092,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
GRIN2A,27,0.5278508769621163,0.0,0.0,0.0,0.21114,0.263925,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
GRIN2D,28,0.52494341848695,0.0,0.0,0.0,0.209977,0.262472,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
GRIN3A,29,0.518474142396879,0.0,0.0,0.0,0.20739,0.259237,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
APH1B,30,0.5164350030840293,0.0,0.0,0.0,0.206574,0.258218,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
GRIN2C,31,0.5152683780565085,0.0,0.0,0.0,0.206107,0.257634,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
SHARPIN,32,0.2706705088309884,0.16260831227163416,0.0,0.16260831227163416,0.205833,0.216639,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
CDK5R1,33,0.5135429487486519,0.0,0.0,0.0,0.205417,0.256771,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
HFE,34,0.5087082468866914,0.0,0.0,0.0,0.203483,0.254354,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,moderate
CDC25B,35,0.49695942505897917,0.0,0.0,0.0,0.198784,0.24848,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
LRP1,36,0.24338285578688423,0.16260831227163416,0.0,0.16260831227163416,0.194918,0.202996,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
PTK2B,37,0.2426394210708398,0.16260831227163416,0.0,0.16260831227163416,0.194621,0.202624,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
CR1,38,0.48610757601072996,0.0,0.0,0.0,0.194443,0.243054,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
ADRA2B,39,0.4838953589665823,0.0,0.0,0.0,0.193558,0.241948,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
NOX4,40,0.09007027415837499,0.257728077256096,0.0,0.257728077256096,0.190665,0.173899,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
HMGCR,41,0.47132667671945494,0.0,0.0,0.0,0.188531,0.235663,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
GRN,42,0.4645350213401843,0.0,0.0,0.0,0.185814,0.232268,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,moderate
EPHA1,43,0.4636544250603992,0.0,0.0,0.0,0.185462,0.231827,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
FOXO3,44,0.45077806658103425,0.0,0.0,0.0,0.180311,0.225389,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
ABCA7,45,0.4353150677721135,0.0,0.0,0.0,0.174126,0.217658,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFAB1,46,0.42707707891108015,0.0,0.0,0.0,0.170831,0.213539,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
BIN1,47,0.41565830917933766,0.0,0.0,0.0,0.166263,0.207829,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
SLC6A3,48,0.4142367719642416,0.0,0.0,0.0,0.165695,0.207118,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
GSK3B,49,0.41338162041003723,0.0,0.0,0.0,0.165353,0.206691,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
CDKN2B,50,0.41275730408691624,0.0,0.0,0.0,0.165103,0.206379,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
CDKN1A,51,0.40749253064213675,0.0,0.0,0.0,0.162997,0.203746,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NCK2,52,0.4046693424796538,0.0,0.0,0.0,0.161868,0.202335,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PSAP,53,0.40303986360531263,0.0,0.0,0.0,0.161216,0.20152,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PLK1,54,0.39205478905541635,0.0,0.0,0.0,0.156822,0.196027,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CDK4,55,0.39198003125628744,0.0,0.0,0.0,0.156792,0.19599,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SMPD1,56,0.391496040881251,0.0,0.0,0.0,0.156598,0.195748,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SCARB1,57,0.37822789360501796,0.0,0.0,0.0,0.151291,0.189114,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
AXL,58,0.3780001450213618,0.0,0.0,0.0,0.1512,0.189,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,moderate
NDUFS5,59,0.3771672056480093,0.0,0.0,0.0,0.150867,0.188584,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
HTR1A,60,0.36800976489907755,0.0,0.0,0.0,0.147204,0.184005,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
AURKB,61,0.3675515743609219,0.0,0.0,0.0,0.147021,0.183776,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFA8,62,0.3669856298463873,0.0,0.0,0.0,0.146794,0.183493,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFV2,63,0.3656541531060462,0.0,0.0,0.0,0.146262,0.182827,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
LSM6,64,0.36402876476696877,0.0,0.0,0.0,0.145612,0.182014,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
MTMR3,65,0.36292462851443885,0.0,0.0,0.0,0.14517,0.181462,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SLC6A2,66,0.36116545105870834,0.0,0.0,0.0,0.144466,0.180583,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CDKN2A,67,0.3610747313703494,0.0,0.0,0.0,0.14443,0.180537,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CDKN1C,68,0.36063645817785195,0.0,0.0,0.0,0.144255,0.180318,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CDK1,69,0.36031530720975846,0.0,0.0,0.0,0.144126,0.180158,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
RIOK2,70,0.3594616516197142,0.0,0.0,0.0,0.143785,0.179731,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
DRD2,71,0.35855148050376895,0.0,0.0,0.0,0.143421,0.179276,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFS1,72,0.3573242709753065,0.0,0.0,0.0,0.14293,0.178662,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
DDX39B,73,0.3555216394632088,0.0,0.0,0.0,0.142209,0.177761,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
ATP6V1B2,74,0.3534502677860485,0.0,0.0,0.0,0.14138,0.176725,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CD2AP,75,0.3491177951175093,0.0,0.0,0.0,0.139647,0.174559,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
UQCRC1,76,0.34827555672793964,0.0,0.0,0.0,0.13931,0.174138,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
ADRA2C,77,0.34441921329551606,0.0,0.0,0.0,0.137768,0.17221,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
AURKA,78,0.34297138255067483,0.0,0.0,0.0,0.137189,0.171486,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CAST,79,0.09290727066885007,0.16260831227163416,0.0,0.16260831227163416,0.134728,0.127758,Moderate gap signal,Low-priority / weak gap signal,checked_with_mentions,low
ADRA2A,80,0.3361426494496713,0.0,0.0,0.0,0.134457,0.168071,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
MPO,81,0.3359726485980217,0.0,0.0,0.0,0.134389,0.167986,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,moderate
NDUFS2,82,0.3346725017817129,0.0,0.0,0.0,0.133869,0.167336,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CASS4,83,0.33362114997007397,0.0,0.0,0.0,0.133448,0.166811,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SLC18A2,84,0.33171147316180594,0.0,0.0,0.0,0.132685,0.165856,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PIKFYVE,85,0.33076723461724444,0.0,0.0,0.0,0.132307,0.165384,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CAMLG,86,0.32826233021023876,0.0,0.0,0.0,0.131305,0.164131,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFA9,87,0.3257049203390825,0.0,0.0,0.0,0.130282,0.162852,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NR1H2,88,0.32297594178421507,0.0,0.0,0.0,0.12919,0.161488,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CSNK1A1,89,0.32165338625288076,0.0,0.0,0.0,0.128661,0.160827,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
AKAP11,90,0.31985006662754845,0.0,0.0,0.0,0.12794,0.159925,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
TARS2,91,0.31980310832435865,0.0,0.0,0.0,0.127921,0.159902,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
MASTL,92,0.31980310832435865,0.0,0.0,0.0,0.127921,0.159902,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
ATP6V1C1,93,0.3196030185759353,0.0,0.0,0.0,0.127841,0.159802,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
FADS2,94,0.31749109740271686,0.0,0.0,0.0,0.126996,0.158746,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CDK12,95,0.31718866046816563,0.0,0.0,0.0,0.126875,0.158594,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CTSB,96,0.3167370160636417,0.0,0.0,0.0,0.126695,0.158369,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PI4KB,97,0.31294403267683735,0.0,0.0,0.0,0.125178,0.156472,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFB7,98,0.3106792157409215,0.0,0.0,0.0,0.124272,0.15534,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
