target_id,approved_symbol,approved_name,biotype,association_score,datasource_scores,disease_id,disease_name,ds_clinical_precedence,ds_uniprot_variants,ds_eva,ds_gwas_credible_sets,ds_orphanet,ds_uniprot_literature,ds_genomics_england,ds_reactome,ds_europepmc,ds_impc,ds_expression_atlas,ds_crispr_screen,ds_gene_burden
ENSG00000142192,APP,amyloid beta precursor protein,protein_coding,0.8696695516607333,"{""clinical_precedence"": 0.9728005513909271, ""uniprot_variants"": 0.9580964074361958, ""eva"": 0.9316603833246658, ""gwas_credible_sets"": 0.7736137575222262, ""orphanet"": 0.607930797611621, ""uniprot_literature"": 0.607930797611621, ""genomics_england"": 0.607930797611621, ""reactome"": 0.607930797611621, ""europepmc"": 0.9946238915416176, ""impc"": 0.39065633054522775}",MONDO_0004975,Alzheimer disease,0.9728005513909271,0.9580964074361958,0.9316603833246658,0.7736137575222262,0.607930797611621,0.607930797611621,0.607930797611621,0.607930797611621,0.9946238915416176,0.39065633054522775,,,
ENSG00000080815,PSEN1,presenilin 1,protein_coding,0.8663337248746705,"{""uniprot_variants"": 0.9953830536655334, ""genomics_england"": 0.9549947196932794, ""eva"": 0.9444664297638227, ""clinical_precedence"": 0.6224689064784766, ""orphanet"": 0.607930797611621, ""uniprot_literature"": 0.607930797611621, ""europepmc"": 0.9712479440116228, ""impc"": 0.5711362082603426, ""expression_atlas"": 0.04988096311450684}",MONDO_0004975,Alzheimer disease,0.6224689064784766,0.9953830536655334,0.9444664297638227,,0.607930797611621,0.607930797611621,0.9549947196932794,,0.9712479440116228,0.5711362082603426,0.04988096311450684,,
ENSG00000143801,PSEN2,presenilin 2,protein_coding,0.8165198525554955,"{""uniprot_variants"": 0.9471757543886921, ""eva"": 0.8908006546040942, ""genomics_england"": 0.8126852676405352, ""clinical_precedence"": 0.6224689064784766, ""orphanet"": 0.607930797611621, ""uniprot_literature"": 0.607930797611621, ""europepmc"": 0.6934407230492223}",MONDO_0004975,Alzheimer disease,0.6224689064784766,0.9471757543886921,0.8908006546040942,,0.607930797611621,0.607930797611621,0.8126852676405352,,0.6934407230492223,,,,
ENSG00000130203,APOE,apolipoprotein E,protein_coding,0.7749432033461633,"{""gwas_credible_sets"": 0.9533703527874416, ""eva"": 0.7937221161179503, ""uniprot_variants"": 0.607930797611621, ""uniprot_literature"": 0.607930797611621, ""crispr_screen"": 0.2670020417823128, ""europepmc"": 0.9985595575618875, ""impc"": 0.2687054125443365, ""expression_atlas"": 0.017251532679053088}",MONDO_0004975,Alzheimer disease,,0.607930797611621,0.7937221161179503,0.9533703527874416,,0.607930797611621,,,0.9985595575618875,0.2687054125443365,0.017251532679053088,0.2670020417823128,
ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,protein_coding,0.7000358051327009,"{""clinical_precedence"": 0.98731997197959, ""crispr_screen"": 0.5815977506239859, ""europepmc"": 0.845385026295666}",MONDO_0004975,Alzheimer disease,0.98731997197959,,,,,,,,0.845385026295666,,,0.5815977506239859,
ENSG00000137642,SORL1,sortilin related receptor 1,protein_coding,0.6887135105146187,"{""gwas_credible_sets"": 0.8749085305895158, ""orphanet"": 0.607930797611621, ""uniprot_variants"": 0.44488713508550437, ""gene_burden"": 0.39314961120901953, ""eva"": 0.31612401475804297, ""uniprot_literature"": 0.3039653988058105, ""genomics_england"": 0.3039653988058105, ""europepmc"": 0.9718962832472118, ""impc"": 0.6326456669186236, ""expression_atlas"": 0.04768036208430157}",MONDO_0004975,Alzheimer disease,,0.44488713508550437,0.31612401475804297,0.8749085305895158,0.607930797611621,0.3039653988058105,0.3039653988058105,,0.9718962832472118,0.6326456669186236,0.04768036208430157,,0.39314961120901953
ENSG00000137845,ADAM10,ADAM metallopeptidase domain 10,protein_coding,0.6816636553816533,"{""uniprot_variants"": 0.8274613634158176, ""gwas_credible_sets"": 0.7799392178316392, ""uniprot_literature"": 0.607930797611621, ""eva"": 0.381307705835289, ""europepmc"": 0.9182294621580723, ""expression_atlas"": 0.02040312242200407}",MONDO_0004975,Alzheimer disease,,0.8274613634158176,0.381307705835289,0.7799392178316392,,0.607930797611621,,,0.9182294621580723,,0.02040312242200407,,
ENSG00000164885,CDK5,cyclin dependent kinase 5,protein_coding,0.6800338890220147,"{""reactome"": 0.9513974960387728, ""crispr_screen"": 0.5815971262173243, ""europepmc"": 0.930828798741009, ""expression_atlas"": 0.08977986793197987}",MONDO_0004975,Alzheimer disease,,,,,,,,0.9513974960387728,0.930828798741009,,0.08977986793197987,0.5815971262173243,
ENSG00000116032,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,protein_coding,0.66936011916202,"{""clinical_precedence"": 0.98731997197959, ""gwas_credible_sets"": 0.4390033704611571, ""europepmc"": 0.17890896764711994}",MONDO_0004975,Alzheimer disease,0.98731997197959,,,0.4390033704611571,,,,,0.17890896764711994,,,,
ENSG00000159640,ACE,angiotensin I converting enzyme,protein_coding,0.6341919427542662,"{""gwas_credible_sets"": 0.8627041643684601, ""genomics_england"": 0.607930797611621, ""europepmc"": 0.9410215917570464, ""clinical_precedence"": 0.12158615952232422}",MONDO_0004975,Alzheimer disease,0.12158615952232422,,,0.8627041643684601,,,0.607930797611621,,0.9410215917570464,,,,
